IP,地区,洲,城市,延迟
104.25.14.28,LAX,North America,Los Angeles,137 ms
104.25.185.234,LAX,North America,Los Angeles,146 ms
162.159.1.157,LAX,North America,Los Angeles,146 ms
104.21.202.226,LAX,North America,Los Angeles,146 ms
104.27.46.9,LAX,North America,Los Angeles,146 ms
104.24.68.110,LAX,North America,Los Angeles,146 ms
104.25.175.38,LAX,North America,Los Angeles,147 ms
104.25.252.117,LAX,North America,Los Angeles,147 ms
104.25.191.188,LAX,North America,Los Angeles,147 ms
104.27.11.225,LAX,North America,Los Angeles,147 ms
104.24.130.93,LAX,North America,Los Angeles,147 ms
104.24.173.57,LAX,North America,Los Angeles,148 ms
104.19.60.60,LAX,North America,Los Angeles,148 ms
162.159.45.114,LAX,North America,Los Angeles,148 ms
162.159.27.137,LAX,North America,Los Angeles,148 ms
104.24.57.22,LAX,North America,Los Angeles,148 ms
172.64.89.86,LAX,North America,Los Angeles,148 ms
104.18.27.90,LAX,North America,Los Angeles,148 ms
104.22.10.148,LAX,North America,Los Angeles,148 ms
104.24.91.42,LAX,North America,Los Angeles,149 ms
172.64.150.41,LAX,North America,Los Angeles,149 ms
104.27.17.250,LAX,North America,Los Angeles,149 ms
104.22.17.180,LAX,North America,Los Angeles,149 ms
172.67.20.234,LAX,North America,Los Angeles,149 ms
104.23.103.166,LAX,North America,Los Angeles,149 ms
104.22.2.86,LAX,North America,Los Angeles,149 ms
141.101.123.254,LAX,North America,Los Angeles,149 ms
172.65.42.49,LAX,North America,Los Angeles,149 ms
104.21.8.248,LAX,North America,Los Angeles,150 ms
104.22.27.68,LAX,North America,Los Angeles,150 ms
104.21.73.111,LAX,North America,Los Angeles,150 ms
172.67.138.48,LAX,North America,Los Angeles,150 ms
104.25.83.223,LAX,North America,Los Angeles,150 ms
104.16.72.249,SJC,North America,San Jose,151 ms
104.18.31.209,LAX,North America,Los Angeles,151 ms
104.16.49.178,SJC,North America,San Jose,151 ms
104.20.9.3,LAX,North America,Los Angeles,151 ms
23.227.39.176,LAX,North America,Los Angeles,151 ms
104.27.40.24,LAX,North America,Los Angeles,151 ms
104.23.114.142,LAX,North America,Los Angeles,151 ms
104.25.31.100,LAX,North America,Los Angeles,151 ms
172.67.244.129,LAX,North America,Los Angeles,151 ms
104.19.255.52,SJC,North America,San Jose,152 ms
172.67.131.199,LAX,North America,Los Angeles,152 ms
104.24.187.172,LAX,North America,Los Angeles,152 ms
104.25.120.2,LAX,North America,Los Angeles,153 ms
172.64.34.219,LAX,North America,Los Angeles,153 ms
104.24.185.176,LAX,North America,Los Angeles,153 ms
104.19.64.252,LAX,North America,Los Angeles,153 ms
104.19.68.217,LAX,North America,Los Angeles,153 ms
104.24.210.211,LAX,North America,Los Angeles,153 ms
104.18.172.2,SJC,North America,San Jose,153 ms
104.25.228.15,LAX,North America,Los Angeles,153 ms
104.16.175.88,SJC,North America,San Jose,153 ms
172.64.147.60,LAX,North America,Los Angeles,153 ms
104.23.100.137,LAX,North America,Los Angeles,154 ms
162.159.20.244,LAX,North America,Los Angeles,154 ms
104.24.22.153,LAX,North America,Los Angeles,154 ms
104.25.250.70,LAX,North America,Los Angeles,154 ms
162.159.58.234,LAX,North America,Los Angeles,154 ms
104.27.25.228,LAX,North America,Los Angeles,154 ms
162.159.33.134,LAX,North America,Los Angeles,154 ms
104.17.196.144,SJC,North America,San Jose,154 ms
104.27.27.46,LAX,North America,Los Angeles,154 ms
104.16.58.132,SJC,North America,San Jose,154 ms
104.17.124.21,SJC,North America,San Jose,154 ms
162.159.61.162,LAX,North America,Los Angeles,154 ms
104.27.50.103,LAX,North America,Los Angeles,154 ms
104.24.32.61,LAX,North America,Los Angeles,154 ms
104.16.168.247,SJC,North America,San Jose,154 ms
104.19.117.24,LAX,North America,Los Angeles,154 ms
162.159.11.111,LAX,North America,Los Angeles,154 ms
104.19.197.241,LAX,North America,Los Angeles,154 ms
162.159.6.162,LAX,North America,Los Angeles,154 ms
172.66.3.145,LAX,North America,Los Angeles,154 ms
104.23.98.21,LAX,North America,Los Angeles,154 ms
104.16.228.21,SJC,North America,San Jose,155 ms
172.67.16.86,LAX,North America,Los Angeles,155 ms
162.159.49.46,LAX,North America,Los Angeles,155 ms
104.17.165.53,SJC,North America,San Jose,155 ms
104.19.80.58,LAX,North America,Los Angeles,155 ms
104.22.37.250,LAX,North America,Los Angeles,155 ms
104.25.200.161,LAX,North America,Los Angeles,155 ms
162.159.7.44,LAX,North America,Los Angeles,155 ms
104.20.4.115,LAX,North America,Los Angeles,155 ms
162.159.10.129,LAX,North America,Los Angeles,155 ms
104.16.153.203,SJC,North America,San Jose,155 ms
104.18.219.246,SJC,North America,San Jose,155 ms
162.159.244.101,LAX,North America,Los Angeles,155 ms
104.24.145.140,LAX,North America,Los Angeles,155 ms
104.24.11.102,LAX,North America,Los Angeles,155 ms
104.19.252.43,SJC,North America,San Jose,155 ms
162.159.246.227,LAX,North America,Los Angeles,155 ms
162.159.60.180,LAX,North America,Los Angeles,155 ms
104.16.50.86,SJC,North America,San Jose,155 ms
198.41.192.59,LAX,North America,Los Angeles,155 ms
104.25.96.73,LAX,North America,Los Angeles,155 ms
172.67.11.104,LAX,North America,Los Angeles,155 ms
104.24.0.97,LAX,North America,Los Angeles,155 ms
104.24.252.127,LAX,North America,Los Angeles,155 ms
104.24.129.206,LAX,North America,Los Angeles,155 ms
104.21.85.191,LAX,North America,Los Angeles,155 ms
172.64.146.133,LAX,North America,Los Angeles,155 ms
104.24.141.190,LAX,North America,Los Angeles,155 ms
104.21.54.8,LAX,North America,Los Angeles,155 ms
104.25.44.222,LAX,North America,Los Angeles,155 ms
104.22.47.49,LAX,North America,Los Angeles,155 ms
104.19.108.79,LAX,North America,Los Angeles,155 ms
104.27.61.59,LAX,North America,Los Angeles,155 ms
172.67.5.75,LAX,North America,Los Angeles,155 ms
172.64.229.187,LAX,North America,Los Angeles,155 ms
104.24.227.80,LAX,North America,Los Angeles,156 ms
