IP,最小,最大,平均,丢包
104.27.4.85,146,157,150,0
198.41.221.57,146,154,150,0
104.20.81.51,147,155,151,0
104.18.11.126,148,156,151,0
104.25.102.255,147,156,151,0
104.25.205.49,146,156,151,0
104.19.203.37,147,156,151,0
198.41.198.140,147,155,152,0
104.22.50.26,149,156,152,0
104.20.60.150,147,161,152,0
104.24.60.197,146,161,152,0
104.24.240.231,149,158,152,0
172.64.39.120,146,158,152,0
104.20.168.72,150,154,152,0
104.19.57.221,147,160,152,0
104.20.162.111,148,159,152,0
104.25.153.180,147,161,152,0
104.27.56.35,147,157,153,0
162.159.7.43,150,159,153,0
104.27.33.192,148,157,153,0
104.25.98.175,149,160,153,0
172.65.182.69,150,159,153,0
104.24.46.15,146,164,153,0
172.67.17.202,143,164,153,0
104.25.65.240,149,156,153,0
104.25.81.151,149,159,153,0
104.20.110.0,146,161,153,0
104.25.47.235,148,159,153,0
104.25.20.141,148,161,153,0
104.25.190.58,148,159,153,0
104.20.37.134,147,166,153,0
172.67.4.187,147,157,153,0
104.19.110.167,141,160,153,0
104.25.189.94,149,158,153,0
104.27.102.106,147,167,154,0
104.24.71.132,149,162,154,0
104.27.0.1,150,159,154,0
104.25.170.141,146,162,154,0
104.27.27.210,149,158,154,0
104.27.10.114,148,162,154,0
104.24.65.42,148,158,154,0
104.20.66.142,147,161,154,0
104.24.14.18,148,159,154,0
104.24.94.10,148,158,154,0
104.27.87.107,149,162,154,0
104.19.40.221,145,158,154,0
104.27.62.80,149,160,154,0
104.24.15.88,153,156,154,0
104.19.198.231,150,162,154,0
104.19.101.5,150,160,154,0
104.24.68.233,149,161,155,0
104.17.166.155,153,156,155,0
104.20.229.177,149,159,155,0
172.66.47.123,154,156,155,0
172.67.252.139,147,177,155,0
172.67.46.133,148,170,155,0
104.27.17.11,148,166,155,0
172.67.83.119,145,164,155,0
104.19.35.71,150,159,155,0
104.20.248.55,153,158,155,0
104.19.195.143,142,166,155,0
104.19.59.167,150,162,155,0
104.24.130.213,150,161,155,0
104.24.20.54,152,159,155,0
104.23.118.252,154,156,155,0
104.25.110.54,150,162,155,0
104.18.191.47,152,157,155,0
104.24.159.120,154,157,155,0
104.24.224.18,150,160,155,0
173.245.49.52,147,170,155,0
104.24.194.173,154,157,155,0
104.25.45.178,153,159,155,0
104.20.174.103,153,157,155,0
104.19.13.246,150,160,155,0
104.25.135.169,150,160,155,0
104.20.152.86,154,158,155,0
104.19.96.88,149,163,155,0
104.19.100.127,151,163,155,0
104.17.82.34,154,157,155,0
104.17.130.184,152,157,155,0
104.22.46.66,153,157,155,0
104.18.94.78,153,157,155,0
162.159.243.214,150,160,155,0
104.19.197.35,150,159,155,0
104.20.185.49,148,170,155,0
162.159.142.221,147,161,155,0
104.24.90.226,154,160,155,0
104.23.103.59,154,156,156,0
104.25.28.97,153,159,156,0
104.24.137.33,154,158,156,0
104.25.184.244,154,160,156,0
104.25.130.22,147,162,156,0
104.20.252.42,153,159,156,0
104.20.135.97,144,171,156,0
104.27.104.39,148,162,156,0
104.20.176.131,149,161,156,0
172.67.107.21,144,164,156,0
104.16.50.174,152,159,156,0
104.27.49.138,154,160,156,0
104.24.189.218,149,160,156,0
162.159.242.104,152,160,156,0
104.25.223.143,154,160,156,0
104.18.6.126,150,159,156,0
172.64.145.166,155,157,156,0
104.25.77.16,153,158,156,0
108.162.192.202,154,158,156,0
104.22.20.89,155,159,156,0
104.20.38.11,155,159,156,0
104.25.87.108,150,162,156,0
104.24.241.151,154,158,156,0
172.66.43.220,155,158,156,0
104.16.233.234,154,157,156,0
104.24.158.8,153,160,156,0
104.24.131.218,154,158,156,0
104.18.39.106,155,159,156,0
104.25.9.185,154,160,156,0
104.25.224.157,154,159,156,0
104.27.64.242,155,157,156,0
104.27.70.127,155,160,156,0
162.159.60.212,153,164,156,0
104.22.3.96,154,160,156,0
198.41.192.211,154,159,156,0
104.24.231.62,154,160,156,0
104.24.73.141,155,158,156,0
104.20.95.27,155,159,156,0
141.101.113.58,155,158,156,0
104.24.254.52,147,163,156,0
104.18.18.148,156,157,156,0
104.24.66.146,154,160,157,0
104.18.178.193,151,163,157,0
104.18.228.76,155,158,157,0
104.16.10.20,155,160,157,0
162.159.240.0,154,161,157,0
104.27.24.94,151,164,157,0
104.25.37.163,154,162,157,0
104.25.245.47,154,167,157,0
104.27.53.81,154,160,157,0
104.20.126.33,154,163,157,0
104.25.57.167,155,159,157,0
104.20.68.163,155,159,157,0
104.24.77.103,155,161,157,0
104.20.184.75,151,166,157,0
104.18.196.199,153,161,157,0
104.25.92.197,155,163,157,0
104.24.11.150,150,169,157,0
108.162.195.80,154,165,157,0
162.159.25.8,155,160,157,0
104.27.57.107,155,160,157,0
104.20.1.4,154,163,157,0
104.23.101.56,154,163,157,0
162.159.41.108,156,159,157,0
104.25.36.137,153,163,157,0
104.25.147.72,152,161,157,0
104.27.103.211,155,159,157,0
104.22.56.31,155,159,157,0
104.24.164.151,153,161,157,0
104.19.235.59,153,162,157,0
104.19.105.134,150,163,157,0
104.20.215.233,156,159,157,0
104.19.66.153,154,161,157,0
104.25.185.212,153,160,157,0
104.27.78.192,154,168,157,0
104.25.211.98,155,161,158,0
104.17.29.60,154,162,158,0
104.19.73.11,155,160,158,0
104.22.37.145,155,163,158,0
104.27.98.175,152,162,158,0
104.22.16.138,153,162,158,0
104.19.61.146,152,163,158,0
104.24.95.70,148,169,158,0
104.17.89.206,151,163,158,0
104.20.139.232,150,166,158,0
104.24.22.238,155,162,158,0
104.25.115.18,153,164,158,0
162.159.11.151,156,160,158,0
104.18.91.208,154,162,158,0
104.25.18.58,155,160,158,0
104.24.42.163,149,165,158,0
104.25.86.23,154,161,158,0
104.25.60.72,149,170,158,0
104.24.157.253,154,163,158,0
104.20.200.23,154,164,158,0
104.20.146.233,155,162,158,0
104.24.151.88,154,172,158,0
104.19.145.127,154,163,158,0
104.16.117.178,156,161,158,0
162.159.48.120,151,162,158,0
162.251.82.20,155,164,158,0
104.25.10.152,150,164,158,0
104.20.85.103,154,160,158,0
104.27.18.106,154,162,158,0
104.19.117.205,154,168,158,0
104.23.114.71,151,169,158,0
104.27.93.247,156,160,158,0
104.22.4.159,153,163,158,0
172.64.149.111,156,160,158,0
104.25.142.224,154,163,158,0
162.159.5.246,153,164,158,0
104.20.144.115,157,160,158,0
104.25.123.77,156,160,158,0
104.17.26.134,155,160,158,0
104.20.210.117,154,162,158,0
162.159.33.216,157,162,158,0
104.17.232.133,154,163,158,0
104.22.49.117,153,166,158,0
104.19.88.179,156,160,158,0
104.25.236.162,155,166,158,0
104.24.10.21,155,163,158,0
104.20.214.236,156,162,158,0
104.17.71.255,156,161,158,0
104.19.76.183,157,159,158,0
104.18.10.55,156,163,158,0
172.67.30.203,147,169,158,0
172.67.18.91,155,161,158,0
104.18.171.128,156,162,158,0
104.23.117.195,154,163,158,0
104.20.69.172,155,162,158,0
104.24.24.65,149,168,158,0
104.20.154.170,153,162,158,0
104.19.67.52,153,164,158,0
104.20.196.82,156,161,158,0
104.25.121.251,155,163,158,0
172.67.183.45,151,180,158,0
104.20.212.136,156,160,158,0
104.18.249.200,157,160,158,0
104.23.110.32,153,165,158,0
172.67.117.87,156,159,158,0
104.18.12.90,157,159,158,0
104.24.58.40,157,161,158,0
104.20.235.93,157,161,158,0
104.18.41.83,154,161,158,0
104.20.140.67,157,160,158,0
172.67.102.182,157,161,158,0
104.19.8.154,154,165,158,0
104.24.2.97,145,164,159,0
104.20.82.15,155,161,159,0
104.25.128.90,156,161,159,0
104.17.80.203,153,166,159,0
104.16.87.155,157,160,159,0
104.18.165.62,156,163,159,0
104.27.67.234,150,170,159,0
104.24.150.126,157,164,159,0
104.20.158.241,157,160,159,0
104.22.31.183,157,161,159,0
104.24.49.26,153,166,159,0
104.22.12.27,152,164,159,0
104.19.187.193,155,163,159,0
104.27.76.159,154,161,159,0
172.67.56.189,154,165,159,0
104.19.53.234,155,165,159,0
172.65.162.149,157,160,159,0
104.24.228.239,157,160,159,0
104.24.201.59,154,166,159,0
162.159.129.136,156,162,159,0
104.25.44.205,157,160,159,0
104.19.44.52,155,164,159,0
104.20.6.158,149,177,159,0
104.20.33.116,156,162,159,0
104.19.16.130,155,164,159,0
162.159.20.239,157,161,159,0
104.20.234.13,153,162,159,0
104.20.2.7,157,164,159,0
104.24.184.136,151,166,159,0
172.67.84.50,155,164,159,0
104.24.252.152,157,162,159,0
104.20.8.84,155,166,159,0
104.25.61.66,158,162,159,0
104.19.4.236,155,164,159,0
162.159.9.252,155,163,159,0
104.24.163.248,155,166,159,0
173.245.59.149,157,161,159,0
104.23.123.71,149,178,159,0
162.159.46.203,157,162,159,0
104.27.45.26,155,165,159,0
104.27.125.8,156,165,159,0
104.25.2.181,150,170,159,0
198.41.203.146,147,163,159,0
141.101.123.60,154,166,159,0
104.23.124.121,146,178,159,0
104.20.253.12,158,160,159,0
104.22.54.56,155,164,159,0
104.22.66.0,154,164,159,0
104.27.96.7,158,160,159,0
104.19.113.216,155,165,159,0
104.23.106.155,158,160,159,0
104.25.222.110,155,163,159,0
104.25.6.76,157,161,159,0
104.25.181.36,157,162,159,0
104.22.51.182,153,164,159,0
66.235.200.198,158,160,159,0
104.24.63.88,157,162,159,0
104.17.25.147,157,169,159,0
104.25.16.110,155,163,159,0
104.22.26.169,155,164,159,0
104.25.50.159,149,174,159,0
104.24.245.89,155,165,159,0
104.18.7.243,158,163,159,0
104.18.21.202,153,164,159,0
104.24.160.133,156,164,159,0
198.41.217.25,155,162,159,0
104.24.138.83,155,163,159,0
104.18.203.168,154,164,159,0
104.18.44.45,154,162,159,0
104.24.74.17,158,161,159,0
104.24.7.165,157,163,159,0
104.25.243.161,158,164,159,0
104.27.92.53,157,163,159,0
104.18.177.50,155,165,159,0
104.20.170.90,156,165,159,0
104.19.86.33,155,163,159,0
104.19.54.13,157,163,159,0
172.67.124.218,151,170,159,0
104.25.67.233,156,166,159,0
104.20.93.246,158,162,159,0
104.20.237.219,158,162,159,0
172.67.53.104,155,164,159,0
104.20.118.170,155,163,159,0
104.20.202.176,155,164,160,0
104.27.40.63,152,168,160,0
172.65.221.131,155,167,160,0
104.20.128.173,158,162,160,0
104.27.77.43,155,164,160,0
104.20.254.187,158,163,160,0
104.20.79.3,157,162,160,0
104.19.111.205,152,174,160,0
104.24.129.183,152,178,160,0
104.19.180.124,154,168,160,0
104.18.1.245,156,163,160,0
172.67.126.139,149,175,160,0
172.65.250.140,157,163,160,0
104.24.195.63,154,164,160,0
104.27.81.162,155,166,160,0
104.18.77.140,155,164,160,0
104.22.57.211,149,170,160,0
172.67.142.183,147,200,160,0
104.24.69.26,155,165,160,0
104.25.126.211,154,166,160,0
104.21.9.232,154,167,160,0
104.19.20.15,154,164,160,0
104.16.210.95,155,168,160,0
104.16.230.216,155,166,160,0
104.18.31.17,158,162,160,0
104.17.42.30,154,165,160,0
104.19.28.196,157,162,160,0
104.20.105.192,159,161,160,0
104.20.249.138,158,163,160,0
104.24.41.77,154,166,160,0
104.20.15.113,155,166,160,0
104.24.53.92,158,162,160,0
104.20.205.179,155,163,160,0
104.24.89.78,157,162,160,0
104.19.112.173,154,165,160,0
104.20.193.130,151,168,160,0
104.25.141.155,154,163,160,0
104.25.27.109,155,165,160,0
104.19.55.1,156,167,160,0
104.25.197.45,156,163,160,0
198.41.200.0,150,162,160,0
104.19.65.58,155,165,160,0
104.19.116.200,157,163,160,0
104.25.164.79,155,164,160,0
104.18.10.13,157,162,160,0
104.18.16.148,158,162,160,0
104.25.156.193,158,164,160,0
104.16.134.110,158,163,160,0
104.24.51.30,156,165,160,0
104.22.18.202,158,162,160,0
104.25.213.10,157,163,160,0
104.25.46.143,158,164,160,0
104.25.163.220,157,166,160,0
